EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
3570.690097,4730.211791,2717.991907,2216.785277,4332.922239,5415.372764,3474.620758,4435.541886,3159.168395,2244.572281,3934.523494,456.8906481,2655.086244
3642.366939,4823.545668,2694.677219,2183.082337,4409.791347,5537.082075,3457.563783,4547.450916,3183.549183,2304.637845,3938.951025,455.4960145,2659.221444
3711.759754,4979.950903,2755.012637,2231.511893,4452.377541,5582.424192,3502.74249,4856.385757,3316.696837,2379.48096,3973.130447,428.4499422,2731.010021
4539.837967,6062.045767,3518.116785,2862.120755,5178.255939,6641.726074,4129.490556,5660.972551,4015.846241,2937.565976,4706.116692,556.5231218,3135.744057
5584.823424,7322.887208,4261.131258,3469.975976,6259.295207,8131.010919,4887.136452,7170.290182,5102.381822,3925.516447,5725.923589,726.4303521,3663.670446
6047.537822,7756.201659,4584.284522,3670.133089,6664.754115,8795.871282,5284.742133,7779.541303,5513.420073,4423.971046,6045.061143,799.1115905,3846.418715
6065.514288,7824.573149,4683.480374,3777.976982,7013.976265,8995.157313,5458.632463,7982.957967,5432.60539,4396.465959,6101.731506,799.7906839,3859.249656
5577.784324,7135.275743,4189.570541,3391.269751,6653.898854,8150.12402,5094.172157,7360.621885,4878.058745,3945.142165,5603.859896,722.4021362,3335.298276
4925.508561,6298.545643,3705.126963,2910.858538,6029.325566,7197.468325,4664.912969,6595.01912,4223.148615,3396.296864,4967.390478,620.6749016,2648.720927
4015.125839,5079.637162,2923.614548,2256.576757,5105.43243,5774.667803,3891.109866,5421.395727,3403.431019,2627.484121,3966.187775,501.5698653,2160.789725
2634.063746,3264.840851,1898.678312,1488.970491,3685.733464,3965.72125,2850.319718,3542.924255,2149.177324,1611.627237,2557.079572,334.2004108,1532.93251
1568.449799,1952.551014,1029.745697,1318.886145,2263.398714,2715.459987,1783.577322,2231.313921,1230.809044,876.2141336,1541.737815,187.2621718,992.7089847
1247.006852,1820.162309,1436.981425,1157.365566,1724.741674,2070.517085,1301.400982,1735.861795,984.198636,639.9688314,1143.687972,249.5918725,1056.139143
1169.964072,1628.364929,1373.126867,1138.055232,1540.48209,1796.475052,1195.46134,1580.584054,906.3760576,592.4507005,1038.361019,219.7905989,981.4166035
1250.699311,2463.68879,1409.475917,1171.978872,1437.615582,2794.31333,2079.101558,1523.089727,898.0681353,1036.658861,941.8564845,240.3755113,1114.321134
2021.38573,2547.64148,1479.499755,1229.845956,1345.739869,2982.632006,2210.826546,1522.366728,1504.793461,1120.794472,1869.359391,264.0098675,1247.895003
2474.120836,1942.537631,1890.632986,1581.39597,1694.34687,3637.674389,2609.208357,1984.547492,1244.229229,1367.961759,2250.886187,317.5820022,1546.506413
2409.010099,3136.305666,1737.687729,1494.68366,2960.817189,3284.590647,2250.052674,3471.859842,2188.448775,1415.200123,2046.941483,428.3077505,1982.44684
4705.603342,5773.770221,3337.791047,2709.086162,5269.287256,6052.730488,4228.283167,6475.850953,4496.1276,3227.885811,4290.495343,474.8907149,2321.117189
